num_reads,coverage,n_detected,f_detected,smash_count_0,smash_count_1,smash_count_2,smash_count_3,smash_count_4
1,0.0020,59,0.0012,0,0,1,0,1
2,0.0040,98,0.0020,0,0,1,0,1
3,0.0060,168,0.0034,0,0,1,0,1
4,0.0080,238,0.0048,0,1,1,0,1
5,0.0100,308,0.0062,0,1,1,0,2
6,0.0120,378,0.0076,0,1,1,0,2
7,0.0140,423,0.0085,0,1,1,0,3
8,0.0160,448,0.0090,0,1,1,0,3
9,0.0180,518,0.0104,0,1,1,0,3
10,0.0200,557,0.0111,0,1,1,0,3
11,0.0220,627,0.0125,0,1,1,0,3
12,0.0240,697,0.0139,1,1,1,0,3
13,0.0260,717,0.0143,1,1,1,0,3
14,0.0280,775,0.0155,1,1,1,0,3
15,0.0300,845,0.0169,1,1,1,0,3
16,0.0320,914,0.0183,2,1,1,0,3
17,0.0340,984,0.0197,2,1,1,0,4
18,0.0360,1023,0.0205,2,1,1,0,4
19,0.0380,1093,0.0219,2,1,1,0,4
20,0.0400,1163,0.0233,2,1,1,0,4
21,0.0420,1176,0.0235,2,1,1,0,4
22,0.0440,1225,0.0245,2,1,1,1,4
23,0.0460,1295,0.0259,2,1,2,1,4
24,0.0480,1365,0.0273,2,1,2,1,4
25,0.0500,1421,0.0284,2,1,2,2,4
26,0.0520,1491,0.0298,2,1,2,3,4
27,0.0540,1561,0.0312,2,1,2,3,4
28,0.0560,1631,0.0326,3,1,2,3,4
29,0.0580,1701,0.0340,3,1,2,3,4
30,0.0600,1771,0.0354,3,1,2,3,4
31,0.0620,1826,0.0365,3,1,3,3,4
32,0.0640,1888,0.0378,3,1,3,3,4
33,0.0660,1952,0.0391,3,1,3,3,4
34,0.0680,2022,0.0405,3,1,3,3,4
35,0.0700,2061,0.0412,3,1,3,3,4
36,0.0720,2131,0.0426,3,1,3,3,4
37,0.0740,2201,0.0440,4,1,3,3,4
38,0.0760,2271,0.0454,4,1,3,3,4
39,0.0780,2341,0.0468,5,1,3,3,4
40,0.0800,2380,0.0476,5,1,3,3,4
41,0.0820,2450,0.0490,5,1,3,3,4
42,0.0840,2520,0.0504,5,1,3,3,4
43,0.0860,2590,0.0518,5,3,3,3,4
44,0.0880,2644,0.0529,5,3,3,3,4
45,0.0900,2674,0.0535,5,3,3,3,4
46,0.0920,2744,0.0549,5,3,3,3,4
47,0.0940,2807,0.0562,5,3,3,3,4
48,0.0960,2807,0.0562,5,3,3,3,4
49,0.0980,2877,0.0576,5,3,4,3,4
50,0.1000,2947,0.0590,5,3,5,3,4
51,0.1020,3004,0.0601,5,3,5,3,4
52,0.1040,3051,0.0611,5,3,5,3,4
53,0.1060,3121,0.0625,5,3,5,3,4
54,0.1080,3191,0.0639,5,3,5,4,4
55,0.1100,3223,0.0645,5,3,5,4,4
56,0.1120,3261,0.0653,5,4,5,4,4
57,0.1140,3308,0.0662,5,4,5,4,4
58,0.1160,3374,0.0675,5,4,5,4,4
59,0.1180,3413,0.0683,5,4,5,4,4
60,0.1200,3477,0.0696,5,4,5,5,4
61,0.1220,3547,0.0710,5,4,5,5,4
62,0.1240,3617,0.0724,5,4,5,6,4
63,0.1260,3656,0.0732,5,4,5,6,4
64,0.1280,3667,0.0734,5,4,5,6,4
65,0.1300,3737,0.0748,5,4,5,6,4
66,0.1320,3737,0.0748,5,4,5,6,4
67,0.1340,3807,0.0762,5,4,5,6,4
68,0.1360,3877,0.0776,5,4,5,7,4
69,0.1380,3947,0.0790,5,4,5,7,4
70,0.1400,4000,0.0800,5,4,6,7,5
71,0.1420,4048,0.0810,5,4,6,7,5
72,0.1440,4118,0.0824,5,4,6,7,5
73,0.1460,4157,0.0832,5,4,6,7,5
74,0.1480,4227,0.0846,5,4,6,7,5
75,0.1500,4266,0.0854,5,4,6,7,5
76,0.1520,4336,0.0868,5,4,8,7,6
77,0.1540,4375,0.0876,5,4,8,7,6
78,0.1560,4410,0.0883,5,4,8,7,6
79,0.1580,4480,0.0897,5,4,8,7,7
80,0.1600,4519,0.0904,5,4,8,7,8
81,0.1620,4558,0.0912,5,5,8,7,8
82,0.1640,4610,0.0923,5,5,8,7,8
83,0.1660,4656,0.0932,5,5,10,7,8
84,0.1680,4717,0.0944,5,5,10,7,8
85,0.1700,4787,0.0958,5,5,10,7,8
86,0.1720,4853,0.0971,5,5,10,7,8
87,0.1740,4904,0.0981,5,5,10,7,8
88,0.1760,4943,0.0989,5,5,10,7,8
89,0.1780,5013,0.1003,5,5,10,7,9
90,0.1800,5083,0.1017,5,5,10,7,9
91,0.1820,5153,0.1031,6,5,10,7,9
92,0.1840,5223,0.1045,6,5,10,7,9
93,0.1860,5293,0.1059,6,5,10,7,9
94,0.1880,5306,0.1062,6,5,10,7,9
95,0.1900,5307,0.1062,6,5,10,7,9
96,0.1920,5321,0.1065,6,5,10,7,9
97,0.1940,5391,0.1079,6,5,10,7,9
98,0.1960,5461,0.1093,6,5,10,7,9
99,0.1980,5488,0.1098,6,5,10,7,9
100,0.2000,5527,0.1106,6,6,10,7,9
101,0.2020,5597,0.1120,6,6,10,7,9
102,0.2040,5667,0.1134,6,6,10,7,9
103,0.2060,5732,0.1147,6,6,10,7,9
104,0.2080,5801,0.1161,6,6,10,7,9
105,0.2100,5871,0.1175,6,6,10,7,9
106,0.2120,5941,0.1189,6,6,10,7,9
107,0.2140,5980,0.1197,6,6,10,7,9
108,0.2160,6050,0.1211,6,6,10,7,9
109,0.2180,6057,0.1212,6,6,10,7,9
110,0.2200,6070,0.1215,6,6,10,7,9
111,0.2220,6140,0.1229,6,6,10,7,10
112,0.2240,6210,0.1243,6,6,10,7,10
113,0.2260,6280,0.1257,6,7,10,7,10
114,0.2280,6346,0.1270,6,7,10,7,10
115,0.2300,6360,0.1273,6,7,10,7,10
116,0.2320,6404,0.1282,6,7,10,7,10
117,0.2340,6429,0.1287,6,7,10,7,10
118,0.2360,6468,0.1294,6,7,10,7,10
119,0.2380,6538,0.1308,6,7,10,7,10
120,0.2400,6577,0.1316,6,7,10,8,10
121,0.2420,6622,0.1325,6,7,10,8,10
122,0.2440,6675,0.1336,6,7,10,8,10
123,0.2460,6716,0.1344,6,7,10,8,10
124,0.2480,6735,0.1348,6,7,10,8,10
125,0.2500,6776,0.1356,6,7,10,8,11
126,0.2520,6815,0.1364,6,7,10,8,11
127,0.2540,6885,0.1378,6,7,10,8,11
128,0.2560,6937,0.1388,6,7,10,8,11
129,0.2580,7003,0.1401,6,7,10,8,11
130,0.2600,7073,0.1415,6,7,10,8,11
131,0.2620,7143,0.1429,6,7,10,8,11
132,0.2640,7213,0.1443,6,7,10,8,11
133,0.2660,7252,0.1451,6,7,10,8,11
134,0.2680,7284,0.1458,6,7,10,8,11
135,0.2700,7354,0.1472,6,7,10,8,11
136,0.2720,7424,0.1486,6,7,10,8,11
137,0.2740,7494,0.1500,6,7,10,8,11
138,0.2760,7564,0.1514,6,7,10,8,11
139,0.2780,7634,0.1528,6,7,10,9,12
140,0.2800,7696,0.1540,6,7,10,9,12
141,0.2820,7766,0.1554,6,7,10,9,12
142,0.2840,7802,0.1561,6,7,10,9,12
143,0.2860,7872,0.1575,7,7,10,9,12
144,0.2880,7911,0.1583,7,8,10,9,12
145,0.2900,7950,0.1591,7,8,10,9,12
146,0.2920,7996,0.1600,7,8,10,9,12
147,0.2940,8066,0.1614,7,8,10,9,12
148,0.2960,8083,0.1618,7,8,10,9,12
149,0.2980,8153,0.1632,7,8,10,9,13
150,0.3000,8173,0.1636,7,8,10,9,13
151,0.3020,8201,0.1641,7,8,10,9,13
152,0.3040,8271,0.1655,7,8,10,9,14
153,0.3060,8300,0.1661,7,9,10,9,14
154,0.3080,8339,0.1669,7,9,10,9,14
155,0.3100,8370,0.1675,7,9,10,9,14
156,0.3120,8404,0.1682,7,9,10,9,14
157,0.3140,8438,0.1689,7,9,10,9,14
158,0.3160,8450,0.1691,7,9,10,9,14
159,0.3180,8494,0.1700,7,9,10,9,14
160,0.3200,8564,0.1714,7,9,10,9,14
161,0.3220,8603,0.1722,7,9,10,9,14
162,0.3240,8642,0.1729,7,10,10,9,14
163,0.3260,8712,0.1743,7,10,10,9,14
164,0.3280,8782,0.1757,7,10,10,9,14
165,0.3300,8803,0.1762,7,10,10,9,14
166,0.3320,8842,0.1769,7,10,10,9,14
167,0.3340,8875,0.1776,7,10,10,9,14
168,0.3360,8914,0.1784,7,10,10,9,14
169,0.3380,8984,0.1798,7,10,10,9,14
170,0.3400,9054,0.1812,7,10,10,10,14
171,0.3420,9120,0.1825,7,10,10,10,14
172,0.3440,9190,0.1839,8,10,10,10,14
173,0.3460,9242,0.1850,8,10,10,11,14
174,0.3480,9304,0.1862,8,10,10,11,14
175,0.3500,9343,0.1870,8,10,10,11,14
176,0.3520,9343,0.1870,8,10,10,11,14
177,0.3540,9413,0.1884,8,10,10,11,14
178,0.3560,9475,0.1896,8,10,10,11,14
179,0.3580,9516,0.1904,8,10,10,11,14
180,0.3600,9555,0.1912,8,10,10,11,15
181,0.3620,9625,0.1926,9,10,10,11,15
182,0.3640,9695,0.1940,9,10,10,12,15
183,0.3660,9756,0.1952,9,10,10,12,15
184,0.3680,9795,0.1960,9,10,10,12,15
185,0.3700,9834,0.1968,9,10,10,12,15
186,0.3720,9904,0.1982,9,10,10,12,15
187,0.3740,9943,0.1990,9,10,10,12,15
188,0.3760,10008,0.2003,9,10,10,12,15
189,0.3780,10045,0.2010,9,10,10,12,15
190,0.3800,10071,0.2015,9,10,10,12,15
191,0.3820,10096,0.2020,9,10,10,12,15
192,0.3840,10124,0.2026,9,10,10,12,15
193,0.3860,10182,0.2038,9,10,10,12,15
194,0.3880,10234,0.2048,9,10,11,12,16
195,0.3900,10304,0.2062,9,11,11,12,16
196,0.3920,10374,0.2076,9,11,11,12,17
197,0.3940,10413,0.2084,9,11,11,12,17
198,0.3960,10483,0.2098,9,11,11,12,17
199,0.3980,10537,0.2109,9,11,11,12,17
200,0.4000,10574,0.2116,9,11,11,12,17
201,0.4020,10644,0.2130,9,11,11,12,17
202,0.4040,10714,0.2144,9,12,11,12,17
203,0.4060,10753,0.2152,9,12,11,12,17
204,0.4080,10813,0.2164,9,12,11,12,17
205,0.4100,10852,0.2172,9,12,11,12,17
206,0.4120,10922,0.2186,9,12,11,12,18
207,0.4140,10924,0.2186,9,12,11,12,18
208,0.4160,10994,0.2200,9,12,11,12,18
209,0.4180,11064,0.2214,9,12,11,12,19
210,0.4200,11134,0.2228,9,12,11,12,20
211,0.4220,11200,0.2241,9,12,11,12,20
212,0.4240,11259,0.2253,9,12,11,12,21
213,0.4260,11288,0.2259,9,12,11,12,21
214,0.4280,11328,0.2267,9,13,11,12,21
215,0.4300,11364,0.2274,9,13,11,12,21
216,0.4320,11434,0.2288,9,13,11,12,21
217,0.4340,11460,0.2293,9,13,11,12,21
218,0.4360,11530,0.2307,9,13,11,12,21
219,0.4380,11533,0.2308,9,13,11,12,21
220,0.4400,11554,0.2312,9,13,11,12,21
221,0.4420,11590,0.2319,9,13,11,12,21
222,0.4440,11629,0.2327,9,13,11,12,21
223,0.4460,11699,0.2341,9,13,11,12,21
224,0.4480,11738,0.2349,9,13,11,12,21
225,0.4500,11792,0.2360,9,13,11,12,21
226,0.4520,11810,0.2363,9,13,11,12,21
227,0.4540,11880,0.2377,10,13,11,12,21
228,0.4560,11950,0.2391,10,13,11,12,21
229,0.4580,11950,0.2391,10,13,11,12,21
230,0.4600,12020,0.2405,10,13,11,12,21
231,0.4620,12087,0.2419,10,13,11,12,21
232,0.4640,12157,0.2433,10,13,11,12,21
233,0.4660,12227,0.2447,10,13,11,12,21
234,0.4680,12297,0.2461,10,13,11,12,21
235,0.4700,12324,0.2466,10,13,11,12,21
236,0.4720,12350,0.2471,10,13,11,12,21
237,0.4740,12394,0.2480,10,13,11,12,21
238,0.4760,12464,0.2494,10,13,11,12,21
239,0.4780,12503,0.2502,10,13,11,12,21
240,0.4800,12540,0.2510,10,13,11,12,21
241,0.4820,12588,0.2519,10,13,11,12,21
242,0.4840,12653,0.2532,10,13,12,12,21
243,0.4860,12653,0.2532,10,13,12,12,21
244,0.4880,12663,0.2534,10,13,12,12,21
245,0.4900,12696,0.2541,10,13,12,12,21
246,0.4920,12716,0.2545,10,13,12,12,21
247,0.4940,12755,0.2553,10,13,12,12,21
248,0.4960,12814,0.2564,10,13,12,13,21
249,0.4980,12853,0.2572,10,13,12,13,21
250,0.5000,12923,0.2586,10,13,12,13,21
251,0.5020,12970,0.2596,10,13,12,13,21
252,0.5040,12980,0.2598,10,13,12,13,21
253,0.5060,13050,0.2612,10,13,12,13,21
254,0.5080,13120,0.2626,10,13,12,13,21
255,0.5100,13190,0.2640,10,13,12,13,21
256,0.5120,13260,0.2654,10,13,12,13,21
257,0.5140,13304,0.2662,10,13,12,13,21
258,0.5160,13335,0.2669,10,13,12,13,21
259,0.5180,13335,0.2669,10,13,12,13,21
260,0.5200,13345,0.2671,10,13,12,13,21
261,0.5220,13384,0.2678,10,13,12,13,21
262,0.5240,13394,0.2680,10,13,12,13,21
263,0.5260,13464,0.2694,10,13,12,14,21
264,0.5280,13490,0.2700,10,13,13,14,21
265,0.5300,13522,0.2706,10,13,13,14,22
266,0.5320,13592,0.2720,10,13,13,14,22
267,0.5340,13616,0.2725,10,13,13,14,22
268,0.5360,13638,0.2729,10,13,13,14,22
269,0.5380,13708,0.2743,10,13,13,14,22
270,0.5400,13778,0.2757,10,13,13,14,22
271,0.5420,13815,0.2765,10,13,13,14,22
272,0.5440,13865,0.2775,10,13,13,15,22
273,0.5460,13920,0.2786,10,14,14,15,22
274,0.5480,13942,0.2790,10,14,14,15,22
275,0.5500,14012,0.2804,10,14,14,15,22
276,0.5520,14013,0.2804,10,14,14,15,22
277,0.5540,14083,0.2818,10,15,15,15,22
278,0.5560,14112,0.2824,10,15,15,16,22
279,0.5580,14151,0.2832,10,15,15,16,22
280,0.5600,14151,0.2832,10,15,15,16,22
281,0.5620,14201,0.2842,11,15,15,18,22
282,0.5640,14267,0.2855,11,15,15,18,22
283,0.5660,14335,0.2869,11,15,15,18,22
284,0.5680,14343,0.2870,11,15,15,18,22
285,0.5700,14348,0.2871,12,15,15,18,22
286,0.5720,14384,0.2879,12,15,15,18,22
287,0.5740,14453,0.2892,12,15,15,18,22
288,0.5760,14458,0.2893,12,15,15,18,22
289,0.5780,14528,0.2907,12,15,15,18,23
290,0.5800,14563,0.2914,12,15,15,18,24
291,0.5820,14604,0.2923,12,15,15,18,24
292,0.5840,14617,0.2925,12,15,15,18,24
293,0.5860,14681,0.2938,12,15,15,18,24
294,0.5880,14727,0.2947,12,15,15,18,24
295,0.5900,14756,0.2953,12,15,15,18,24
296,0.5920,14776,0.2957,12,15,15,18,24
297,0.5940,14842,0.2970,12,15,15,19,24
298,0.5960,14912,0.2984,12,15,15,19,24
299,0.5980,14928,0.2987,12,15,15,19,25
300,0.6000,14952,0.2992,12,15,15,19,25
301,0.6020,14952,0.2992,12,15,15,19,25
302,0.6040,14989,0.3000,12,15,15,19,25
303,0.6060,15007,0.3003,12,15,15,19,25
304,0.6080,15049,0.3012,12,15,15,19,25
305,0.6100,15077,0.3017,12,15,15,19,25
306,0.6120,15117,0.3025,12,15,15,19,25
307,0.6140,15156,0.3033,12,15,15,19,25
308,0.6160,15187,0.3039,12,15,15,19,25
309,0.6180,15198,0.3041,12,15,15,19,25
310,0.6200,15232,0.3048,12,15,15,19,25
311,0.6220,15274,0.3057,12,15,15,19,25
312,0.6240,15286,0.3059,12,15,15,19,26
313,0.6260,15355,0.3073,12,15,15,19,26
314,0.6280,15394,0.3081,12,15,15,19,26
315,0.6300,15402,0.3082,12,15,15,19,26
316,0.6320,15472,0.3096,12,15,15,19,26
317,0.6340,15483,0.3098,12,15,15,19,26
318,0.6360,15490,0.3100,12,15,15,19,26
319,0.6380,15492,0.3100,12,15,15,19,26
320,0.6400,15534,0.3109,12,15,15,19,26
321,0.6420,15585,0.3119,12,15,15,19,26
322,0.6440,15607,0.3123,12,15,15,19,26
323,0.6460,15646,0.3131,12,15,15,19,26
324,0.6480,15700,0.3142,12,15,15,19,26
325,0.6500,15741,0.3150,12,15,15,20,26
326,0.6520,15790,0.3160,12,15,15,20,26
327,0.6540,15849,0.3172,12,16,15,20,26
328,0.6560,15880,0.3178,13,16,15,20,26
329,0.6580,15916,0.3185,13,16,15,20,26
330,0.6600,15986,0.3199,13,16,15,20,26
331,0.6620,16002,0.3202,13,16,15,20,26
332,0.6640,16072,0.3216,13,16,15,20,26
333,0.6660,16120,0.3226,13,16,15,20,26
334,0.6680,16144,0.3231,13,16,15,20,26
335,0.6700,16214,0.3245,13,16,15,20,26
336,0.6720,16277,0.3257,13,16,15,20,26
337,0.6740,16277,0.3257,13,16,15,20,26
338,0.6760,16277,0.3257,13,16,15,20,26
339,0.6780,16347,0.3271,13,16,15,20,27
340,0.6800,16410,0.3284,13,16,15,20,27
341,0.6820,16449,0.3292,13,16,15,20,27
342,0.6840,16519,0.3306,13,16,15,20,27
343,0.6860,16530,0.3308,13,16,15,20,27
344,0.6880,16556,0.3313,13,16,15,20,27
345,0.6900,16583,0.3319,13,16,15,21,27
346,0.6920,16653,0.3333,13,16,15,22,27
347,0.6940,16694,0.3341,13,16,15,22,27
348,0.6960,16727,0.3347,13,16,15,22,27
349,0.6980,16728,0.3348,13,16,15,22,27
350,0.7000,16767,0.3355,13,16,15,22,27
351,0.7020,16768,0.3356,13,16,15,22,27
352,0.7040,16774,0.3357,13,16,15,22,27
353,0.7060,16792,0.3360,13,16,15,22,27
354,0.7080,16846,0.3371,13,16,15,22,27
355,0.7100,16916,0.3385,13,16,15,22,28
356,0.7120,16929,0.3388,13,16,15,22,28
357,0.7140,16999,0.3402,14,16,15,22,28
358,0.7160,17036,0.3409,14,16,15,22,28
359,0.7180,17106,0.3423,14,16,15,22,28
360,0.7200,17127,0.3427,14,16,15,22,28
361,0.7220,17127,0.3427,14,16,15,22,28
362,0.7240,17197,0.3441,14,16,15,22,28
363,0.7260,17256,0.3453,14,17,15,22,28
364,0.7280,17326,0.3467,14,17,15,22,29
365,0.7300,17337,0.3469,14,17,15,22,29
366,0.7320,17400,0.3482,14,17,15,22,29
367,0.7340,17470,0.3496,15,17,15,22,30
368,0.7360,17492,0.3501,15,17,15,22,30
369,0.7380,17555,0.3513,15,17,15,22,30
370,0.7400,17606,0.3523,15,17,15,22,30
371,0.7420,17676,0.3537,15,17,15,22,30
372,0.7440,17746,0.3551,15,18,15,22,30
373,0.7460,17746,0.3551,15,18,15,22,30
374,0.7480,17816,0.3565,15,18,15,22,30
375,0.7500,17886,0.3579,15,18,15,23,30
376,0.7520,17915,0.3585,15,18,15,23,30
377,0.7540,17924,0.3587,15,18,15,23,30
378,0.7560,17946,0.3591,15,18,15,23,30
379,0.7580,17946,0.3591,15,18,15,23,30
380,0.7600,18016,0.3605,16,18,15,24,30
381,0.7620,18043,0.3611,16,18,15,24,30
382,0.7640,18113,0.3625,16,18,15,24,30
383,0.7660,18115,0.3625,16,18,15,24,30
384,0.7680,18155,0.3633,16,18,15,24,30
385,0.7700,18168,0.3636,16,18,15,24,30
386,0.7720,18229,0.3648,16,18,16,24,30
387,0.7740,18248,0.3652,16,18,16,24,30
388,0.7760,18298,0.3662,16,18,16,24,30
389,0.7780,18342,0.3671,16,18,16,24,30
390,0.7800,18412,0.3685,16,18,16,24,30
391,0.7820,18462,0.3695,16,18,16,24,30
392,0.7840,18522,0.3707,17,18,16,24,30
393,0.7860,18590,0.3720,17,18,16,24,30
394,0.7880,18611,0.3724,17,18,16,24,30
395,0.7900,18662,0.3735,17,18,16,24,30
396,0.7920,18693,0.3741,17,18,16,24,32
397,0.7940,18763,0.3755,17,19,16,24,32
398,0.7960,18763,0.3755,17,19,16,24,32
399,0.7980,18763,0.3755,17,19,16,24,32
400,0.8000,18833,0.3769,17,19,16,24,32
401,0.8020,18861,0.3774,17,19,16,24,32
402,0.8040,18861,0.3774,17,19,16,24,32
403,0.8060,18884,0.3779,17,19,16,24,32
404,0.8080,18942,0.3791,18,19,16,24,32
405,0.8100,18993,0.3801,18,19,16,24,32
406,0.8120,19021,0.3806,18,19,16,24,32
407,0.8140,19065,0.3815,18,19,16,25,33
408,0.8160,19083,0.3819,18,19,16,25,33
409,0.8180,19148,0.3832,18,19,16,25,33
410,0.8200,19163,0.3835,18,19,16,25,33
411,0.8220,19163,0.3835,18,19,16,25,33
412,0.8240,19187,0.3840,18,19,16,25,33
413,0.8260,19224,0.3847,18,19,16,25,33
414,0.8280,19274,0.3857,18,19,16,25,33
415,0.8300,19327,0.3868,18,19,16,25,34
416,0.8320,19359,0.3874,18,19,16,25,34
417,0.8340,19398,0.3882,18,19,16,25,34
418,0.8360,19399,0.3882,18,19,16,25,34
419,0.8380,19428,0.3888,18,19,16,26,34
420,0.8400,19494,0.3901,18,19,16,26,34
421,0.8420,19494,0.3901,18,19,16,26,34
422,0.8440,19548,0.3912,18,19,17,26,34
423,0.8460,19618,0.3926,18,19,18,26,34
424,0.8480,19634,0.3929,18,19,18,26,34
425,0.8500,19668,0.3936,18,19,18,26,34
426,0.8520,19695,0.3941,18,19,18,26,34
427,0.8540,19765,0.3955,18,19,18,26,34
428,0.8560,19769,0.3956,18,19,18,26,34
429,0.8580,19826,0.3968,18,19,18,26,34
430,0.8600,19896,0.3982,18,19,18,26,34
431,0.8620,19896,0.3982,18,19,18,26,34
432,0.8640,19905,0.3983,19,19,18,26,34
433,0.8660,19918,0.3986,19,19,18,27,34
434,0.8680,19951,0.3993,19,19,19,27,34
435,0.8700,19951,0.3993,19,19,19,27,34
436,0.8720,19951,0.3993,19,19,19,27,34
437,0.8740,20021,0.4007,19,19,19,27,34
438,0.8760,20058,0.4014,19,19,19,27,34
439,0.8780,20086,0.4020,19,19,19,27,34
440,0.8800,20156,0.4034,19,19,19,27,34
441,0.8820,20226,0.4048,19,19,19,27,34
442,0.8840,20286,0.4060,19,19,19,27,34
443,0.8860,20286,0.4060,19,19,19,27,34
444,0.8880,20302,0.4063,19,19,19,27,34
445,0.8900,20318,0.4066,19,19,19,27,34
446,0.8920,20362,0.4075,19,19,19,27,34
447,0.8940,20389,0.4080,20,19,19,27,34
448,0.8960,20389,0.4080,20,19,19,27,34
449,0.8980,20459,0.4094,20,19,19,27,34
450,0.9000,20498,0.4102,20,19,19,27,34
451,0.9020,20538,0.4110,20,19,19,27,34
452,0.9040,20600,0.4122,20,19,19,27,34
453,0.9060,20614,0.4125,20,19,19,27,34
454,0.9080,20655,0.4133,21,19,19,27,34
455,0.9100,20686,0.4140,21,19,19,27,34
456,0.9120,20687,0.4140,21,19,19,27,34
457,0.9140,20724,0.4147,21,19,19,27,34
458,0.9160,20794,0.4161,21,19,19,27,34
459,0.9180,20815,0.4165,21,19,19,27,35
460,0.9200,20882,0.4179,21,19,19,27,35
461,0.9220,20952,0.4193,21,19,19,27,35
462,0.9240,21022,0.4207,21,20,19,27,35
463,0.9260,21063,0.4215,21,20,20,27,35
464,0.9280,21079,0.4218,21,20,20,27,35
465,0.9300,21101,0.4223,21,20,20,27,35
466,0.9320,21157,0.4234,21,20,20,27,35
467,0.9340,21191,0.4241,21,20,20,27,35
468,0.9360,21219,0.4246,21,20,20,27,35
469,0.9380,21289,0.4260,21,20,20,27,35
470,0.9400,21319,0.4266,21,20,20,27,35
471,0.9420,21333,0.4269,21,20,20,27,35
472,0.9440,21340,0.4271,21,20,20,27,35
473,0.9460,21410,0.4285,21,20,20,27,36
474,0.9480,21467,0.4296,21,20,20,27,36
475,0.9500,21474,0.4297,21,20,20,27,36
476,0.9520,21544,0.4311,21,20,20,27,36
477,0.9540,21582,0.4319,21,20,20,28,36
478,0.9560,21626,0.4328,21,20,20,28,36
479,0.9580,21696,0.4342,21,20,20,28,36
480,0.9600,21755,0.4354,21,20,20,28,36
481,0.9620,21769,0.4356,21,20,20,28,36
482,0.9640,21769,0.4356,21,20,20,28,36
483,0.9660,21788,0.4360,21,20,20,28,36
484,0.9680,21808,0.4364,21,20,20,28,36
485,0.9700,21820,0.4367,21,20,20,28,36
486,0.9720,21839,0.4370,21,20,20,28,36
487,0.9740,21860,0.4375,21,20,20,28,36
488,0.9760,21868,0.4376,21,20,20,28,36
489,0.9780,21875,0.4378,21,20,20,28,36
490,0.9800,21889,0.4380,21,20,20,28,36
491,0.9820,21948,0.4392,21,20,20,28,36
492,0.9840,22018,0.4406,21,20,20,29,36
493,0.9860,22057,0.4414,21,20,20,29,36
494,0.9880,22115,0.4426,21,20,20,29,36
495,0.9900,22154,0.4433,21,21,20,30,36
496,0.9920,22224,0.4447,21,21,20,30,36
497,0.9940,22224,0.4447,21,21,20,30,36
498,0.9960,22294,0.4461,21,21,20,30,36
499,0.9980,22294,0.4461,21,21,20,30,36
500,1.0000,22296,0.4462,21,21,20,30,36
501,1.0020,22366,0.4476,21,21,20,30,37
502,1.0040,22433,0.4489,21,22,20,30,37
503,1.0060,22503,0.4503,21,22,20,30,37
504,1.0080,22530,0.4509,21,22,20,30,37
505,1.0100,22579,0.4519,21,22,20,30,37
506,1.0120,22581,0.4519,21,22,20,30,37
507,1.0140,22608,0.4524,21,22,20,30,37
508,1.0160,22678,0.4538,21,22,20,30,37
509,1.0180,22709,0.4545,21,22,20,30,37
510,1.0200,22731,0.4549,21,22,20,30,37
511,1.0220,22737,0.4550,21,22,20,30,37
512,1.0240,22737,0.4550,21,22,20,30,37
513,1.0260,22784,0.4560,21,22,20,30,37
514,1.0280,22796,0.4562,21,22,20,30,37
515,1.0300,22866,0.4576,21,22,20,30,37
516,1.0320,22897,0.4582,22,22,20,30,37
517,1.0340,22922,0.4587,22,23,20,30,37
518,1.0360,22943,0.4591,22,23,20,30,37
